,0
eur,186
mn,118
http,88
co,88
profit,76
sale,65
year,59
net,50
share,49
company,46
finnish,45
short,44
operating,41
quarter,40
loss,39
said,39
price,37
stks,36
period,36
tsla,34
mln,34
first,31
million,31
lower,30
today,28
decreased,28
x,27
aapl,27
market,26
compared,25
corresponding,22
fall,22
oyj,22
finland,21
spy,21
euro,21
day,20
result,20
u,20
half,19
model,19
recall,19
stock,18
sell,18
fell,18
bank,18
fb,17
back,17
cut,17
third,17
group,16
earlier,15
tesla,15
hel,15
helsinki,14
drop,14
g,14
q,13
hit,13
report,13
pct,13
totaled,12
total,12
still,12
chart,12
weak,12
cost,12
percent,12
item,12
ftse,12
tesco,12
new,11
look,11
put,11
support,11
one,11
last,11
point,11
move,11
operation,10
v,10
low,10
totalled,10
excluding,10
week,10
month,10
like,10
billion,10
lay,10
september,10
january,9
march,9
capital,9
oil,9
bearish,9
high,9
seat,9
negative,9
sbux,9
time,9
pretax,9
next,9
revenue,9
maker,9
recurring,9
p,9
omx,9
close,9
non,9
per,9
level,8
index,8
update,8
plan,8
gain,8
due,8
people,8
shell,8
scanfil,8
take,8
bhp,8
warning,8
go,8
earnings,8
second,8
deutsche,8
staff,8
management,7
suv,7
term,7
usd,7
tax,7
see,7
unit,7
june,7
worker,7
system,7
glencore,7
dividend,7
rt,7
since,7
got,7
rating,7
also,7
going,7
get,7
employee,7
l,7
chief,7
say,7
product,7
estimate,7
april,7
october,7
job,7
find,6
face,6
c,6
amounted,6
resistance,6
passenger,6
fund,6
cash,6
may,6
barclays,6
full,6
early,6
big,6
k,6
could,6
slump,6
currency,6
iwm,6
whole,6
test,6
h,6
near,6
manufacturer,6
qqq,6
slipped,6
break,6
investor,6
production,6
contract,6
car,6
astrazeneca,6
route,5
baltic,5
electronics,5
motor,5
think,5
might,5
expected,5
daily,5
however,5
bottom,5
continues,5
lead,5
royal,5
energy,5
