,0
co,296
service,287
http,271
business,264
solution,145
stks,132
plant,130
order,129
financial,124
customer,122
nokia,120
based,117
technology,115
corporation,112
long,110
mobile,108
project,108
well,107
value,105
according,105
increase,104
v,103
deal,101
increased,101
rose,99
plc,97
agreement,97
part,95
board,95
industry,94
area,94
construction,89
building,89
january,88
buy,88
aapl,87
network,85
line,84
high,84
oy,83
expected,82
development,82
september,82
two,81
day,80
growth,79
short,77
term,77
paper,76
acquisition,76
cost,76
medium,75
right,74
director,73
earnings,72
maker,70
decreased,70
russia,70
equipment,70
country,68
global,67
employee,67
stake,67
approximately,66
number,66
annual,66
exchange,64
offer,64
option,64
real,64
tsla,63
data,62
office,61
software,61
support,60
march,59
october,59
good,59
design,59
including,58
half,58
supply,57
start,57
transaction,57
volume,56
ltd,56
manufacturing,56
announced,56
communication,55
lower,55
x,55
april,55
target,54
say,54
cash,54
steel,53
china,53
take,53
week,53
sector,53
e,53
position,53
june,53
see,52
shareholder,52
people,52
facility,52
phone,52
fell,52
g,51
signed,50
engineering,50
largest,50
expects,50
reported,50
includes,50
process,50
higher,49
use,49
include,49
make,49
made,49
totalled,49
information,49
close,48
application,48
totaled,48
three,48
electronics,48
b,48
l,48
nine,47
brand,47
subsidiary,47
back,47
eps,47
next,47
estimated,46
delivery,46
holding,46
non,45
release,45
world,45
store,45
february,44
energy,44
q,44
level,44
related,44
swedish,43
state,43
investor,43
fb,43
around,43
since,43
president,43
still,43
call,43
device,42
property,42
division,42
move,42
food,42
fund,42
strong,42
trade,42
set,41
power,41
nordic,41
tax,41
provider,41
uk,41
capacity,41
cover,41
baltic,41
material,40
corp,40
security,40
member,40
issue,40
model,40
cent,40
work,40
international,40
look,40
retail,39
consumer,39
added,39
sweden,39
major,39
august,39
available,39
p,39
chairman,39
low,39
distribution,39
spy,39
cut,39
due,38
n,38
