,0
eur,622
mn,259
year,236
company,232
sale,229
profit,209
net,197
said,194
finnish,181
co,180
http,174
million,164
period,141
mln,125
quarter,124
operating,120
share,114
group,105
new,96
market,94
rose,92
stks,92
increased,89
service,89
euro,87
long,84
oyj,83
today,82
first,76
increase,76
loss,76
percent,74
business,72
buy,70
compared,70
finland,67
corresponding,64
also,63
month,62
order,61
operation,59
contract,59
price,57
growth,55
aapl,55
agreement,53
solution,52
technology,49
v,48
stock,48
last,48
per,48
signed,44
earnings,44
product,43
customer,42
hel,42
high,41
plc,40
cost,40
u,40
higher,40
deal,39
good,39
line,38
system,38
second,38
nokia,37
result,37
maker,37
earlier,37
billion,36
third,36
bank,36
supply,36
strong,36
corporation,35
time,35
acquisition,35
revenue,35
positive,34
grew,34
day,33
well,33
nine,33
mobile,32
expected,32
network,32
financial,32
term,31
ceo,31
dividend,31
pct,31
volume,31
position,31
rise,31
awarded,31
usd,30
see,30
report,30
eps,29
project,29
according,28
plant,28
helsinki,28
end,28
support,28
based,28
say,27
news,27
tsla,27
one,27
astrazeneca,26
russia,26
industry,26
september,26
provider,25
investment,25
target,25
steel,25
close,25
week,24
area,24
call,24
paper,24
g,24
china,24
looking,24
unit,23
global,23
fb,23
back,23
would,23
two,22
offer,22
cash,22
significant,22
chart,22
breakout,22
january,22
metal,22
aim,22
expects,21
bullish,21
capital,21
look,21
construction,21
update,20
sell,20
equipment,20
gain,20
uk,20
may,20
respectively,20
short,20
plan,20
software,20
improved,20
omx,19
demand,19
head,19
largest,19
break,19
strategy,19
process,18
still,18
director,18
sabmiller,18
saving,18
ago,18
february,18
next,18
spy,18
cooperation,18
three,18
estimated,18
beer,18
ab,18
country,18
announced,18
move,18
b,18
manufacturing,17
go,17
double,17
q,17
value,17
totaled,17
run,17
management,17
however,17
narrowed,17
lead,17
tesco,17
total,17
versus,17
drug,17
insurance,17
yesterday,16
board,16
